Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,259.2,250.0,00:01:05.6,00:02:05.3,3.99,00:02:11.2,3.81,31.0,33,7.9,7.6,140.0,191.0,-53.0,13.0,40.0,13.0,227.0,360.0,468.0,-12.0,46.9663225,7.3894499



Per-Stroke Data:

1,85.2,82.4,00:00:25.0,00:01:53.1,4.42,00:01:58.2,4.23,33.0,12,8.7,7.5,135,206.0,-51,15,42,12,236.0,346.0,485.0,-11,46.9665018,7.3883984
1,93.2,90.0,00:00:26.8,00:01:51.9,4.47,00:01:58.2,4.23,34.5,13,8.0,7.6,142,230.0,-57,10,39,10,277.0,419.0,509.0,-17,46.9665144,7.3882948
1,101.3,97.7,00:00:28.6,00:01:53.1,4.42,00:01:56.8,4.28,33.0,14,8.1,7.7,148,174.0,-56,15,39,11,196.0,329.0,418.0,-9,46.9665259,7.3881895
1,109.4,105.4,00:00:30.4,00:01:54.4,4.37,00:01:58.2,4.23,33.0,15,8.0,7.7,148,226.0,-50,9,41,10,256.0,379.0,495.0,-13,46.9665354,7.3880836
1,116.7,113.1,00:00:32.2,00:01:54.9,4.35,00:01:56.8,4.28,34.5,16,7.3,7.7,148,217.0,-55,10,39,11,242.0,406.0,520.0,-17,46.9665439,7.3879885
1,125.4,120.4,00:00:34.0,00:01:52.1,4.46,00:02:00.2,4.16,33.0,17,8.7,7.4,144,222.0,-55,11,40,13,255.0,384.0,492.0,-17,46.9665536,7.3878749
1,133.3,127.9,00:00:35.8,00:01:53.1,4.42,00:02:00.2,4.16,33.0,18,7.9,7.5,144,187.0,-54,13,40,13,212.0,359.0,448.0,-14,46.9665623,7.3877711
1,141.9,136.1,00:00:37.8,00:01:55.5,4.33,00:02:02.2,4.09,31.5,19,8.5,8.2,136,206.0,-55,13,40,12,237.0,379.0,482.0,-4,46.9665704,7.3876595
1,149.6,143.5,00:00:39.6,00:01:58.2,4.23,00:02:03.2,4.06,31.5,20,7.8,7.4,137,219.0,-57,11,40,12,262.0,416.0,492.0,-16,46.9665773,7.3875578
1,157.5,151.1,00:00:41.4,00:01:58.8,4.21,00:02:00.5,4.15,31.5,21,7.9,7.6,137,225.0,-55,9,40,11,254.0,435.0,527.0,-15,46.9665847,7.3874543
