Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,257.4,250.1,00:01:05.1,00:02:06.3,3.96,00:02:10.2,3.84,29.5,31,8.3,8.1,142.0,175.0,-55.0,13.0,39.0,13.0,217.0,357.0,471.0,-11.0,46.9666311,7.3902077



Per-Stroke Data:

1,91.7,88.6,00:00:24.4,00:01:57.9,4.24,00:02:02.0,4.10,31.5,12,7.7,7.5,141,212.0,-57,11,39,11,241.0,412.0,514.0,-11,46.9666543,7.3890634
1,100.1,96.9,00:00:26.4,00:01:57.9,4.24,00:01:59.0,4.20,31.5,13,8.5,8.4,145,213.0,-59,11,40,15,246.0,402.0,487.0,-17,46.9666581,7.3889522
1,108.7,105.3,00:00:28.4,00:01:57.6,4.25,00:01:59.9,4.17,29.0,14,8.6,8.3,148,198.0,-59,11,40,13,241.0,398.0,495.0,-12,46.9666612,7.3888392
1,117.2,113.5,00:00:30.4,00:01:57.4,4.26,00:02:01.7,4.11,30.5,15,8.5,8.3,148,197.0,-58,10,40,13,239.0,398.0,473.0,-6,46.9666649,7.3887280
1,125.6,121.7,00:00:32.4,00:01:58.8,4.21,00:02:01.1,4.13,30.5,16,8.5,8.1,143,196.0,-58,13,40,13,220.0,398.0,499.0,-9,46.9666704,7.3886168
1,134.2,129.8,00:00:34.4,00:01:58.8,4.21,00:02:02.8,4.07,30.5,17,8.5,8.2,145,196.0,-58,11,39,14,221.0,381.0,474.0,-14,46.9666759,7.3885049
1,142.6,138.1,00:00:36.4,00:01:57.4,4.26,00:02:00.8,4.14,30.5,18,8.5,8.3,148,196.0,-57,11,39,15,227.0,381.0,482.0,-15,46.9666800,7.3883934
1,151.2,146.2,00:00:38.4,00:01:58.5,4.22,00:02:03.2,4.06,30.5,19,8.5,8.0,148,188.0,-59,12,38,14,224.0,375.0,476.0,-23,46.9666862,7.3882814
1,159.5,154.2,00:00:40.4,00:02:00.2,4.16,00:02:04.4,4.02,29.0,20,8.3,8.0,150,154.0,-59,15,39,20,187.0,322.0,465.0,-15,46.9666914,7.3881721
1,167.6,162.0,00:00:42.4,00:02:01.7,4.11,00:02:07.6,3.92,29.0,21,8.1,7.8,153,166.0,-55,15,39,12,210.0,339.0,452.0,-14,46.9666952,7.3880660
1,175.6,169.9,00:00:44.4,00:02:05.0,4.00,00:02:07.9,3.91,29.5,22,8.1,7.9,156,179.0,-56,15,40,13,217.0,362.0,472.0,-13,46.9666989,7.3879599
1,184.5,178.5,00:00:46.6,00:02:04.7,4.01,00:02:06.9,3.94,29.0,23,8.8,8.6,159,177.0,-56,12,40,15,211.0,372.0,493.0,-12,46.9667056,7.3878442
1,192.6,187.3,00:00:48.8,00:02:03.5,4.05,00:02:07.6,3.92,29.0,24,8.2,8.8,160,168.0,-56,13,39,16,208.0,346.0,468.0,-15,46.9667097,7.3877370
1,200.7,194.1,00:00:50.6,00:02:04.1,4.03,00:02:09.2,3.87,29.0,25,8.1,6.9,159,181.0,-57,12,39,15,228.0,362.0,479.0,-17,46.9667138,7.3876309
1,209.4,202.6,00:00:52.8,00:02:04.4,4.02,00:02:08.2,3.90,29.0,26,8.8,8.5,159,156.0,-56,14,39,15,201.0,330.0,462.0,-11,46.9667173,7.3875162
1,216.9,210.5,00:00:54.8,00:02:04.1,4.03,00:02:09.5,3.86,28.0,27,7.5,7.9,162,149.0,-56,13,38,17,182.0,325.0,474.0,-13,46.9667203,7.3874180
1,228.1,221.5,00:00:57.9,00:02:04.7,4.01,00:02:15.9,3.68,22.5,28,11.3,11.0,161,114.0,-51,12,37,14,202.0,296.0,442.0,-16,46.9667236,7.3872700
1,235.7,228.0,00:00:59.6,00:02:09.2,3.87,00:02:15.9,3.68,29.5,29,7.5,6.5,161,148.0,-54,13,38,16,188.0,310.0,439.0,-17,46.9667232,7.3871708
1,243.6,235.7,00:01:01.6,00:02:11.6,3.80,00:02:12.6,3.77,29.0,30,7.9,7.6,162,163.0,-53,14,38,14,206.0,330.0,469.0,-15,46.9667203,7.3870671
1,251.5,244.3,00:01:03.8,00:02:08.2,3.90,00:02:09.9,3.85,30.5,31,8.0,8.6,168,165.0,-56,11,39,15,204.0,340.0,454.0,-9,46.9667151,7.3869626
